employee_id,team,total_revenue,transactions,avg_order_value,avg_response_time_hours,overall_score,grade
BRA_E01,Branding,49401.24,55,898.2,67.8,0.17071725653849146,D
BRA_E02,Branding,323725.51,358,904.26,160.5,0.18940238544923704,D
BRA_E03,Branding,340043.54,376,904.37,122.3,0.2301634239085772,D
BRA_E04,Branding,162461.57,180,902.56,231.7,0.06457064488975518,D
BRA_E05,Branding,141557.14,156,907.42,193.8,0.09174261282397692,D
CUS_E01,Customer_Support,783180.61,695,1126.88,22.5,0.5874142320545005,C
CUS_E02,Customer_Support,1378220.28,1223,1126.92,44.8,0.7725739882893978,B
CUS_E03,Customer_Support,71775.76,64,1121.5,65.9,0.30175639261238285,D
CUS_E04,Customer_Support,1323852.12,1174,1127.64,23.0,0.7736013154840667,B
CUS_E05,Customer_Support,5455.91,5,1091.18,19.4,0.3169953884525005,D
MAR_E01,Marketing,409781.77,293,1398.57,227.5,0.30174516835204457,D
MAR_E02,Marketing,607259.58,434,1399.22,72.4,0.5065915125772585,C
MAR_E03,Marketing,287951.61,206,1397.82,128.6,0.3519762274692374,D
MAR_E04,Marketing,75812.6,54,1403.94,43.9,0.36092723055430986,D
MAR_E05,Marketing,563291.44,403,1397.75,11.4,0.5475832813173414,C
PRO_E01,Product_Development,94061.68,66,1425.18,73.9,0.2659479159130952,D
PRO_E02,Product_Development,287455.74,201,1430.13,116.8,0.2899135372329057,D
PRO_E03,Product_Development,148860.27,104,1431.35,184.7,0.18379222370441956,D
PRO_E04,Product_Development,254267.94,178,1428.47,222.0,0.1835230726211544,D
PRO_E05,Product_Development,19551.24,14,1396.52,99.2,0.2151554531302644,D
SAL_E01,Sales,1701028.95,844,2015.44,204.7,0.677615950834789,B
SAL_E02,Sales,914719.37,454,2014.8,72.2,0.5642940371484185,C
SAL_E03,Sales,1468440.25,728,2017.09,86.9,0.7156268741717475,B
SAL_E04,Sales,1641512.17,814,2016.6,32.4,0.8164594292364751,A
SAL_E05,Sales,882710.57,438,2015.32,129.4,0.5029129720252283,C
